observation_name,parameter_name,n_samples,sen_mean,sen_mean_abs,sen_std_dev
mod_obs4_2,Min. Vapor Porosity,4,5.14E+07,5.24E+07,1.04E+08
mod_obs4_2,FOC,4,-1.83E+07,1.83E+07,2.89E+07
mod_obs4_2,D_{air},4,-66383.4,67468.3,134217
mod_obs4_2,Pore Size Dist. Coeff. ,4,-55.8845,68.01,128.438
mod_obs4_2,Vapor Pressure,4,1.04169,1.05739,2.10434
mod_obs4_2,Soil Source Top Conc. ,4,378.749,378.749,437.108
mod_obs4_2,Soil Source Bottom Conc. ,4,1.91591,1.91591,3.71166
mod_obs4_2,Min. Soil Moisture,4,84.6539,154.079,266.225
mod_obs4_2,q_{air} VIMS,4,-17596.1,17596.1,33870.8
mod_obs4_3,Total Porosity,4,-5.14E+06,5.14E+06,7.09E+06
mod_obs4_3,Min. Vapor Porosity,4,3.66E+06,3.66E+06,5.19E+06
mod_obs4_3,FOC,4,-3.12E+06,3.12E+06,5.35E+06
mod_obs4_3,D_{air},4,-9718.45,10071,19909.4
mod_obs4_3,Pore Size Dist. Coeff. ,4,-113.75,113.77,189.847
mod_obs4_3,Vapor Pressure,4,1.72697,1.73004,3.45326
mod_obs4_3,Soil Source Top Conc. ,4,93.9764,93.9764,108.467
mod_obs4_3,Soil Source Bottom Conc. ,4,0.51777,0.51777,1.0034
mod_obs4_3,Min. Soil Moisture,4,39.4223,417.181,667.425
mod_obs4_3,q_{air} VIMS,4,-4405.58,4405.58,8384.98
